	FIMM.ID	DRUG.NAME	Mechanism.Targets	Putative.Target.Protein	Class.explained	High.phase.Approval.status	Res_code	Alias	Activity.modifier	Active_inactive.in.clinic	Solvent	High.conc.(nM)	InChI	ChEMBL.ID	Drug_class
FIMM003738...Tivozanib	FIMM003738	Tivozanib	VEGFR1, 2, 3, c-Kit, PDGFRB inhibitor	KDR;FLT1;FLT4;KIT;PDGFRA;PDGFRB;EPHB2;TEK	B.Kinase inhibitor	Investigational (Ph 3)	AV-951	KRN951	NA	NA	DMSO	10000	SPMVMDHWKHCIDT-UHFFFAOYSA-N	CHEMBL1289494,CHEMBL2105756	Kinase inhibitor
FIMM003739...AZD1775	FIMM003739	AZD1775	Wee1 inhibitor	WEE1	B.Kinase inhibitor	Investigational (Ph 2)	AZD1775	MK1775	NA	NA	DMSO	10000	BKWJAKQVGHWELA-UHFFFAOYSA-N	CHEMBL1976040	Kinase inhibitor
FIMM003740...PF_00477736	FIMM003740	PF-00477736	CHEK1 inhibitor	CHEK1;KDR;FLT3;YES1;CHEK2	B.Kinase inhibitor	Investigational (Ph 1)	PF-00477736	NA	NA	Inactive	DMSO	10000	NDEXUOWTGYUVGA-LJQANCHMSA-N	CHEMBL2139474	Kinase inhibitor
FIMM003741...AZD7762	FIMM003741	AZD7762	CHEK1 inhibitor	CHEK1;CHEK2	B.Kinase inhibitor	Investigational (Ph 1)	AZD7762	NA	NA	Inactive	DMSO	1000	IAYGCINLNONXHY-LBPRGKRZSA-N	CHEMBL2041933	Kinase inhibitor
FIMM003742...AZD1152_HQPA	FIMM003742	AZD1152-HQPA	Aurora B inhibitor	AURKB	B.Kinase inhibitor	Investigational (Ph 3)	AZD1152-HQPA	NA	active metabolite of Barasertib	Inactive	DMSO	1000	QYZOGCMHVIGURT-UHFFFAOYSA-N	CHEMBL215152	Kinase inhibitor
FIMM003743...AZD8055	FIMM003743	AZD8055	mTOR inhibitor	MTOR	B.Kinase inhibitor	Investigational (Ph 1)	AZD8055	NA	NA	Inactive	DMSO	10000	KVLFRAWTRWDEDF-IRXDYDNUSA-N	CHEMBL1801204	Kinase inhibitor
FIMM003744...Belinostat	FIMM003744	Belinostat	HDAC inhibitor	HDAC1;HDAC2;HDAC3	E.Differentiating.epigenetic modifier	Approved (US)	PXD101	PX105684	NA	NA	DMSO	10000	NCNRHFGMJRPRSK-MDZDMXLPSA-N	CHEMBL408513	Differentiating.epigenetic modifier
FIMM003745...Bimatoprost	FIMM003745	Bimatoprost	Prostaglandin analog	PTGFR;PTGER1;PTGER3	D.Immunomodulatory	Approved	AGN 192024	NA	NA	NA	DMSO	5500	AQOKCDNYWBIDND-FTOWTWDKSA-N	CHEMBL1200963	Immunomodulatory
FIMM003746...Doramapimod	FIMM003746	Doramapimod	p38MAPK inhibitor	MAPK14	B.Kinase inhibitor	Investigational (Ph 1)	BIRB 796	NA	NA	Inactive	DMSO	10000	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	CHEMBL103667	Kinase inhibitor
FIMM003747...Bryostatin_1	FIMM003747	Bryostatin_1	PKC activator	PRKCE;PRKCA;PRKCE;PRKD1;CASP8	B.Kinase inhibitor	Investigational (Ph 1)	B705008K112	NA	NA	NA	DMSO	100	MJQUEDHRCUIRLF-TVIXENOKSA-N	CHEMBL449158	Kinase inhibitor
FIMM003748...Tacedinaline	FIMM003748	Tacedinaline	HDAC inhibitor	HDAC1;HDAC2;HDAC3;HDAC8	E.Differentiating.epigenetic modifier	Investigational (Ph 3)	CI-994	Acetyldinaline, Gö 5549, PD 123654,	NA	Inactive	DMSO	1000	VAZAPHZUAVEOMC-UHFFFAOYSA-N	CHEMBL235191	Differentiating.epigenetic modifier
FIMM003749...BMS_754807	FIMM003749	BMS-754807	IGF1R inhibitor	IGF1R	B.Kinase inhibitor	Investigational (Ph 2)	BMS-754807	NA	NA	Inactive	DMSO	10000	LQVXSNNAFNGRAH-QHCPKHFHSA-N	CHEMBL575448	Kinase inhibitor
FIMM003750...Idelalisib	FIMM003750	Idelalisib	PI3K inhibitor, p110-selective	PIK3CD	B.Kinase inhibitor	Approved	GS-1101	CAL-101	NA	NA	DMSO	10000	IFSDAJWBUCMOAH-HNNXBMFYSA-N	CHEMBL2216870	Kinase inhibitor
FIMM003751...Trametinib	FIMM003751	Trametinib	MEK1 and 2 inhibitor	MAP2K1	B.Kinase inhibitor	Approved	GSK1120212	JTP-74057	NA	NA	DMSO	250	LIRYPHYGHXZJBZ-UHFFFAOYSA-N	CHEMBL2103875,CHEMBL2105741	Kinase inhibitor
FIMM003752...Sonidegib	FIMM003752	Sonidegib	Smothened (Hh) inhibitor	SMO	M.Hedgehog inhibitor	Approved	NVP-LDE225	LDE225, erismodegib (USAN)	NA	NA	DMSO	10000	RWIVSVMMGFFZIJ-VWDRLOGHSA-N	CHEMBL2105737	Hedgehog inhibitor
FIMM003755...Everolimus	FIMM003755	Everolimus	binds FKBP12, causes inhibition of mTORC1	FKBP1A	C.Rapalog	Approved	NVP-RAD001	RAD001, SDZ-RAD	NA	NA	DMSO	100	HKVAMNSJSFKALM-GKUWKFKPSA-N	CHEMBL1908360	Rapalog
FIMM003756...Ruxolitinib	FIMM003756	Ruxolitinib	JAK1 and 2 inhibitor	JAK1;JAK2	B.Kinase inhibitor	Approved	INCB018424	NA	NA	NA	DMSO	10000	HFNKQEVNSGCOJV-HNNXBMFYSA-N	CHEMBL1789941,CHEMBL1795071	Kinase inhibitor
FIMM003758...Indibulin	FIMM003758	Indibulin	Mitoric inhibitor, Microtubule depolymerizer	TUBB	A.Conv.Chemo	Investigational (Ph 2)	D 24851	NA	NA	Inactive	DMSO	10000	SOLIIYNRSAWTSQ-UHFFFAOYSA-N	CHEMBL49642	Conv.Chemo
FIMM003760...MK_2206	FIMM003760	MK-2206	AKT inhibitor	AKT1;AKT2;AKT3	B.Kinase inhibitor	Investigational (Ph 2)	MK-2206	NA	NA	NA	DMSO	1000	HWUHTJIKQZZBRA-UHFFFAOYSA-N	CHEMBL1079175	Kinase inhibitor
FIMM003761...Alisertib	FIMM003761	Alisertib	Aurora A inhibitor	AURKA	B.Kinase inhibitor	Investigational (Ph 3)	MLN8237	NA	NA	NA	DMSO	10000	ZLHFILGSQDJULK-UHFFFAOYSA-N	CHEMBL483158,CHEMBL2103871	Kinase inhibitor
FIMM003762...Nelarabine	FIMM003762	Nelarabine	Antimetabolite, Nucleoside analog, DNA, RNA synth inhibitor	DNA	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated selectively in T-cells	NA	DMSO	10000	IXOXBSCIXZEQEQ-UHTZMRCNSA-N	CHEMBL1201112	Conv.Chemo
FIMM003763...Nilotinib	FIMM003763	Nilotinib	ABL inhibitor	ABL1;KIT	B.Kinase inhibitor	Approved	AMN-107	NA	NA	NA	DMSO	10000	HHZIURLSWUIHRB-UHFFFAOYSA-N	CHEMBL255863,CHEMBL1201740	Kinase inhibitor
FIMM003764...Luminespib	FIMM003764	Luminespib	HSP90 inhibitor	HSP90AA1	K.HSP inhibitor	Investigational (Ph 2)	NVP-AUY922	AUY922	NA	Inactive	DMSO	1000	NDAZATDQFDPQBD-UHFFFAOYSA-N	CHEMBL252164	HSP inhibitor
FIMM003766...Plerixafor	FIMM003766	Plerixafor	CXCR4 antagonist	CXCR4	X.Other	Approved	SID 791	JM 3100, AMD 3100	Irreversible	NA	AQ	10000	YIQPUIGJQJDJOS-UHFFFAOYSA-N	CHEMBL18442,CHEMBL2088494,CHEMBL2311028,CHEMBL2311089,CHEMBL1788331,CHEMBL1788331,CHEMBL1788331	Other
FIMM003767...Vemurafenib	FIMM003767	Vemurafenib	BRAF(V600E) inhibitor	BRAF;SRMS;TNK2;MAP4K5;RAF1;FGR	B.Kinase inhibitor	Approved	PLX4032	RG7204, RO5185426	NA	NA	DMSO	10000	GPXBXXGIAQBQNI-UHFFFAOYSA-N	CHEMBL1229517	Kinase inhibitor
FIMM003769...Vandetanib	FIMM003769	Vandetanib	VEGFR, EGFR, RET inhibitor	KDR;FLT4;EGFR;RET	B.Kinase inhibitor	Approved	ZD6474	NA	NA	NA	DMSO	1000	UHTHHESEBZOYNR-UHFFFAOYSA-N	CHEMBL24828,CHEMBL533849	Kinase inhibitor
FIMM003771...Sepantronium_bromide	FIMM003771	Sepantronium_bromide	Survivin inhibitor	BIRC5	G.Apoptotic modulator	Investigational (Ph 2)	YM155	NA	NA	inactive	DMSO	10000	QBIYUDDJPRGKNJ-UHFFFAOYSA-M	CHEMBL2105734,CHEMBL2110734	Apoptotic modulator
FIMM003772...Linsitinib	FIMM003772	Linsitinib	IGF1R, IR inhibitor	IGF1R	B.Kinase inhibitor	Investigational (Ph 2)	OSI-906	ASP7487	NA	NA	DMSO	10000	PKCDDUHJAFVJJB-VLZXCDOPSA-N	CHEMBL1091644	Kinase inhibitor
FIMM003773...Tepotinib	FIMM003773	Tepotinib	c-Met inhibitor	MET	B.Kinase inhibitor	Investigational (Ph 1)	EMD1214063	NA	NA	NA	DMSO	1000	AHYMHWXQRWRBKT-UHFFFAOYSA-N	not in ChEMBL	Kinase inhibitor
FIMM003775...Dasatinib	FIMM003775	Dasatinib	ABL, Src, Kit, EphR Inhibitor	ABL1	B.Kinase inhibitor	Approved	BMS-354825	NA	NA	NA	DMSO	1000	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	CHEMBL1421	Kinase inhibitor
FIMM003776...Tofacitinib	FIMM003776	Tofacitinib	JAK3, JAK2(V617F) inhibitor	JAK1;JAK2;JAK3	B.Kinase inhibitor	Approved	CP-690550	tasocitinib	NA	NA	DMSO	5000	UJLAWZDWDVHWOW-YPMHNXCESA-N	CHEMBL221959,CHEMBL2103743	Kinase inhibitor
FIMM003777...Fingolimod	FIMM003777	Fingolimod	S1PR antagonist	S1PR1	X.Other	Approved	NA	NA	NA	NA	DMSO	10000	KKGQTZUTZRNORY-UHFFFAOYSA-N	CHEMBL314854,CHEMBL544665	Other
FIMM003778...Axitinib	FIMM003778	Axitinib	VEGFR, PDGFR, KIT inhibitor	KDR;FLT1;FLT4;KIT;PDGFRA;PDGFRB	B.Kinase inhibitor	Approved	AG013736	NA	NA	NA	DMSO	10000	RITAVMQDGBJQJZ-FMIVXFBMSA-N	CHEMBL1289926	Kinase inhibitor
FIMM003779...Saracatinib	FIMM003779	Saracatinib	Src, ABL inhibitor	ABL1;SRC;LCK;YES1;LYN;FYN;BLK;EGFR;KIT;EPHA2	B.Kinase inhibitor	Investigational (Ph 3)	AZD-0530	NA	NA	Inactive	DMSO	10000	OUKYUETWWIPKQR-UHFFFAOYSA-N	CHEMBL217092,CHEMBL2105677	Kinase inhibitor
FIMM003780...Bosutinib	FIMM003780	Bosutinib	ABL, Src inhibitor	ABL1;LYN;HCK;SRC;EPHB2;NTRK1;NTRK2;TXK	B.Kinase inhibitor	Approved	SKI-606	NA	NA	NA	DMSO	10000	UBPYILGKFZZVDX-UHFFFAOYSA-N	CHEMBL288441	Kinase inhibitor
FIMM003781...Canertinib	FIMM003781	Canertinib	Pan-HER inhibitor	EGFR;ERBB2	B.Kinase inhibitor	Investigational (Ph 3)	CI-1033	PD 183805	Irreversible	Inactive	DMSO	10000	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	CHEMBL31965,CHEMBL545315	Kinase inhibitor
FIMM003782...Lenalidomide	FIMM003782	Lenalidomide	Immunomodulatory	CRBN;TNFSF11;CDH5;PTGS2;TNF	D.Immunomodulatory	Approved	CC-5013	NA	NA	NA	DMSO	100000	GOTYRUGSSMKFNF-UHFFFAOYSA-N	CHEMBL848	Immunomodulatory
FIMM003783...Panobinostat	FIMM003783	Panobinostat	HDAC inhibitor	HDAC1;HDAC2;HDAC3	E.Differentiating.epigenetic modifier	Approved	LBH589	NA	NA	NA	DMSO	1000	FPOHNWQLNRZRFC-ZHACJKMWSA-N	CHEMBL483254	Differentiating.epigenetic modifier
FIMM003784...Pazopanib	FIMM003784	Pazopanib	VEGFR inhibitor	FLT1;KDR;FLT4;KIT;PDGFRA;PDGFRB;CSF1R;FGFR3;ITK	B.Kinase inhibitor	Approved	GW786034	NA	NA	NA	DMSO	10000	CUIHSIWYWATEQL-UHFFFAOYSA-N	CHEMBL477772,CHEMBL1201733	Kinase inhibitor
FIMM003785...Tandutinib	FIMM003785	Tandutinib	FLT3, PDGFR, KIT inhibitor	FLT3	B.Kinase inhibitor	Investigational (Ph 2)	MLN518	CT53518	NA	Inactive	DMSO	1000	UXXQOJXBIDBUAC-UHFFFAOYSA-N	CHEMBL124660	Kinase inhibitor
FIMM003786...Temsirolimus	FIMM003786	Temsirolimus	binds FKBP12, causes inhibition of mTORC1	FKBP1A	C.Rapalog	Approved	CCI-779	NA	NA	NA	DMSO	100	CBPNZQVSJQDFBE-FUXHJELOSA-N	CHEMBL1201182	Rapalog
FIMM003787...Vorinostat	FIMM003787	Vorinostat	HDAC inhibitor	HDAC1;HDAC3	E.Differentiating.epigenetic modifier	Approved	MK-0683	SAHA	NA	NA	DMSO	10000	WAEXFXRVDQXREF-UHFFFAOYSA-N	CHEMBL98	Differentiating.epigenetic modifier
FIMM003788...Entinostat	FIMM003788	Entinostat	HDAC inhibitor	HDAC1;HDAC3	E.Differentiating.epigenetic modifier	Investigational (Ph 2)	MS-275	SNDX-275	NA	NA	DMSO	10000	INVTYAOGFAGBOE-UHFFFAOYSA-N	CHEMBL27759	Differentiating.epigenetic modifier
FIMM003789...Enzastaurin	FIMM003789	Enzastaurin	PKCbeta inhibitor	PRKCB;PRKCA;PRKCG;PRKCE	B.Kinase inhibitor	Investigational (Ph 3)	LY317615	NA	NA	Inactive	DMSO	10000	AXRCEOKUDYDWLF-UHFFFAOYSA-N	CHEMBL300138,CHEMBL2107337	Kinase inhibitor
FIMM003790...Olaparib	FIMM003790	Olaparib	PARP inhibitor	PARP1	E.Differentiating.epigenetic modifier	Approved	AZD2281	KU-0059436	NA	NA	DMSO	10000	FDLYAMZZIXQODN-UHFFFAOYSA-N	CHEMBL521686	Differentiating.epigenetic modifier
FIMM003791...Masitinib	FIMM003791	Masitinib	KIT inhibitor	KIT	B.Kinase inhibitor	Investigational (Ph 3)	AB1010	NA	NA	NA	DMSO	10000	WJEOLQLKVOPQFV-UHFFFAOYSA-N	CHEMBL1908391	Kinase inhibitor
FIMM003792...Pictilisib	FIMM003792	Pictilisib	PI3K inhibitor, pan-class I	PIK3CA;PIK3CB;PIK3CG;PIK3CD;MTOR	B.Kinase inhibitor	Investigational (Ph 2)	GDC-0941	RG-7321	NA	Inactive	DMSO	10000	LHNIIDJUOCFXAP-UHFFFAOYSA-N	CHEMBL521851,CHEMBL1922096	Kinase inhibitor
FIMM003793...Vismodegib	FIMM003793	Vismodegib	Smothened (Hh) inhibitor	SMO	M.Hedgehog inhibitor	Approved	GDC-0449	HhAntag691	NA	NA	DMSO	10000	BPQMGSKTAYIVFO-UHFFFAOYSA-N	CHEMBL473417	Hedgehog inhibitor
FIMM003794...Sorafenib	FIMM003794	Sorafenib	BRAF, FGFR-1, VEGFR-2 and -3, PDGFR-beta, KIT, and FLT3 inhibitor	BRAF;FGFR1;KDR;FLT3;KIT;FLT4;PDGFRB	B.Kinase inhibitor	Approved	Bay 43-9006	NA	NA	NA	DMSO	1000	MLDQJTXFUGDVEO-UHFFFAOYSA-N	CHEMBL1336,CHEMBL1760433,CHEMBL1200485	Kinase inhibitor
FIMM003795...Seliciclib	FIMM003795	Seliciclib	CDK2, 7, 9 inhibitor	CDK2;CDK1;CDK5;MAPK1;MAPK3	B.Kinase inhibitor	Investigational (Ph 2)	CYC202	Roscovitine	NA	NA	DMSO	10000	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	CHEMBL14762	Kinase inhibitor
FIMM003797...Docetaxel	FIMM003797	Docetaxel	Mitotic inhibitor, taxane microtubule stabilizer	TUBB1;MAP2;MAP4;MAPT	A.Conv.Chemo	Approved	RP 56976	NA	NA	NA	DMSO	1000	ZDZOTLJHXYCWBA-JXHJHTFNSA-N	CHEMBL92	Conv.Chemo
FIMM023794...Pentostatin	FIMM023794	Pentostatin	Antimetabolite, Purine analog	ADA	A.Conv.Chemo	Approved	NA	Deoxycoformycin	Prodrug, activated in the cells	NA	DMSO	10000	FPVKHBSQESCIEP-JQCXWYLXSA-N	CHEMBL1580	Conv.Chemo
FIMM023795...Sirolimus	FIMM023795	Sirolimus	binds FKBP12, causes inhibition of mTORC1	FKBP1A	C.Rapalog	Approved	NA	Rapamycin	NA	NA	DMSO	100	QFJCIRLUMZQUOT-HPLJOQBZSA-N	CHEMBL413	Rapalog
FIMM023797...Floxuridine	FIMM023797	Floxuridine	Antimetabolite, Analog of 5-fluorouracil	TYMS	A.Conv.Chemo	Approved	NA	5-fluorodeoxyuridine	Prodrug, activated in the cells	NA	DMSO	10000	ODKNJVUHOIMIIZ-RRKCRQDMSA-N	CHEMBL917	Conv.Chemo
FIMM023798...Gemcitabine	FIMM023798	Gemcitabine	Antimetabolite, Nucleoside analog	TYMS	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated in the cells	NA	DMSO	1000	SDUQYLNIPVEERB-QPPQHZFASA-O	CHEMBL888,CHEMBL1637	Conv.Chemo
FIMM023799...Teniposide	FIMM023799	Teniposide	Topoisomerase II inhibitor	TOP2A	A.Conv.Chemo	Approved	VM-26	NA	NA	NA	DMSO	10000	NRUKOCRGYNPUPR-PSZSYXFXSA-N	CHEMBL1237078	Conv.Chemo
FIMM023800...Dactinomycin	FIMM023800	Dactinomycin	RNA and DNA synthesis inhibitor	DNA	A.Conv.Chemo	Approved	NA	Actinomycin D	NA	NA	DMSO	1000	RJURFGZVJUQBHK-IIXSONLDSA-N	CHEMBL1554	Conv.Chemo
FIMM023804...Cladribine	FIMM023804	Cladribine	Antimetabolite, Purine analog	RRM1;RRM2;RRM2B	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated in the cells	NA	DMSO	1000	PTOAARAWEBMLNO-SRQIZXRXSA-N	CHEMBL1619	Conv.Chemo
FIMM023805...Mitomycin_C	FIMM023805	Mitomycin_C	Antineoplastic anatibiotic, DNA crosslinker	DNA	A.Conv.Chemo	Approved	NA	Mitomycin C	NA	NA	DMSO	10000	NWIBSHFKIJFRCO-JZQLQECVSA-N	CHEMBL105	Conv.Chemo
FIMM023806...Carboplatin	FIMM023806	Carboplatin	Platinum-based antineoplastic agent	DNA	A.Conv.Chemo	Approved	NA	NA	NA	NA	AQ	100000	CCQPAEQGAVNNIA-UHFFFAOYSA-N	CHEMBL1351,CHEMBL288376	Conv.Chemo
FIMM023807...Cisplatin	FIMM023807	Cisplatin	Platinum-based antineoplastic agent	DNA	A.Conv.Chemo	Approved	NA	NA	NA	NA	AQ	100000	DLBNRDWREIUHLD-UHFFFAOYSA-L	CHEMBL11359,CHEMBL1386,CHEMBL2068237	Conv.Chemo
FIMM023808...Pemetrexed	FIMM023808	Pemetrexed	Antimetabolite, Antifolate, Dihydrofolate reductase inhibitor, thymidylate synthase inhibitor	TYMS;DHFR	H.Metabolic modifier	Approved	NA	NA	NA	NA	AQ	10000	WBXPDJSOTKVWSJ-CYBMUJFWSA-N	CHEMBL1200373,CHEMBL1201258,CHEMBL225072,CHEMBL2360464	Metabolic modifier
FIMM023809...Oxaliplatin	FIMM023809	Oxaliplatin	Platinum-based antineoplastic agent	DNA	A.Conv.Chemo	Approved	NA	NA	NA	NA	AQ	100000	ZROHGHOFXNOHSO-BNTLRKBRSA-L	CHEMBL414804	Conv.Chemo
FIMM023811...Daunorubicin	FIMM023811	Daunorubicin	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	STQGQHZAVUOBTE-VGBVRHCVSA-N	CHEMBL1563,CHEMBL178,CHEMBL434442,CHEMBL1200475	Conv.Chemo
FIMM023814...Etoposide	FIMM023814	Etoposide	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	10000	VJJPUSNTGOMMGY-MRVIYFEKSA-N	CHEMBL44657	Conv.Chemo
FIMM023816...Arsenic_III_oxide	FIMM023816	Arsenic_III_oxide	Thioredoxin reductase inhibitor, cytotoxic chemotherapeutic	TXNRD1;IKBKB;JUN;CCND1;MAPK3;MAPK1	E.Differentiating.epigenetic modifier	Approved	NA	NA	NA	NA	AQ	2500	GOLCXWYRSKYTSP-UHFFFAOYSA-N	CHEMBL1200978	Differentiating.epigenetic modifier
FIMM023818...Doxorubicin	FIMM023818	Doxorubicin	Topoisomerase II inhibitor	TOP2A;NOLC1	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	1000	AOJJSUZBOXZQNB-TZSSRYMLSA-N	CHEMBL53463,CHEMBL272706,CHEMBL359744,CHEMBL216371	Conv.Chemo
FIMM023819...Valrubicin	FIMM023819	Valrubicin	Topoisomerase II inhibitor	TOP2A;TOP2B	A.Conv.Chemo	Approved	AD-32	NA	NA	NA	DMSO	5000	ZOCKGBMQLCSHFP-KQRAQHLDSA-N	CHEMBL1096885	Conv.Chemo
FIMM023820...Sunitinib	FIMM023820	Sunitinib	Broad TK inhibitor	FLT3;KIT;KDR;PDGFRB;FLT1;FLT4;CSF1R;PDGFRA	B.Kinase inhibitor	Approved	SU-11248	NA	NA	NA	DMSO	1000	WINHZLLDWRZWRT-ATVHPVEESA-N	CHEMBL535,CHEMBL1567	Kinase inhibitor
FIMM023821...Ixabepilone	FIMM023821	Ixabepilone	Mitotic inhibitor, Epothilone microtubule stabilizer	TUBB3	A.Conv.Chemo	Approved	BMS-247550	azaepothilone B	NA	NA	DMSO	1000	FABUFPQFXZVHFB-PVYNADRNSA-N	CHEMBL1201752	Conv.Chemo
FIMM023825...Azacitidine	FIMM023825	Azacitidine	Antimetabolite, Nucleoside analog, DNA methyl transferase inhibitor	TYMS	E.Differentiating.epigenetic modifier	Approved	NA	5-azacytidine, 5-AzaC	Prodrug, activated in the cells	NA	DMSO	10000	NMUSYJAQQFHJEW-KVTDHHQDSA-N	CHEMBL1489	Differentiating.epigenetic modifier
FIMM023828...Fludarabine	FIMM023828	Fludarabine	Antimetabolite, Purine analog	RRM1	A.Conv.Chemo	Approved	NA	NA	Prodrug, activated in the cells	NA	DMSO	10000	HBUBKKRHXORPQB-FJFJXFQQSA-N	CHEMBL1096882,CHEMBL1568	Conv.Chemo
FIMM023831...Bleomycin	FIMM023831	Bleomycin	Glycopeptide antibiotic, causes DNA breaks	DNA	A.Conv.Chemo	Approved	NA	NA	NA	NA	DMSO	10000	OYVAGSVQBOHSSS-UAPAGMARSA-O	CHEMBL403664,CHEMBL501630,CHEMBL525960	Conv.Chemo
FIMM023832...Dactolisib	FIMM023832	Dactolisib	PI3K, mTOR inhibitor	PIK3CA;PIK3CB;PIK3CD;PIK3CG;MTOR;ATR;RPS6KB1	B.Kinase inhibitor	Investigational (Ph 2)	NVP-BEZ235	NA	NA	Inactive	DMSO	1000	JOGKUKXHTYWRGZ-UHFFFAOYSA-N	CHEMBL1879463,CHEMBL1911126	Kinase inhibitor
FIMM023833...Quizartinib	FIMM023833	Quizartinib	FLT3 inhibitor	FLT3	B.Kinase inhibitor	Investigational (Ph 3)	AC220	NA	NA	NA	DMSO	1000	CVWXJKQAOSCOAB-UHFFFAOYSA-N	CHEMBL576982,CHEMBL2105709	Kinase inhibitor
FIMM100345...APR_246	FIMM100345	APR-246	p53 activator, thioredoxin reductase 1 inhibitor	TP53	G.Apoptotic modulator	Investigational (Ph 1)	APR-246	Prima-1 Met	NA	NA	DMSO	10000	BGBNULCRKBVAKL-UHFFFAOYSA-N	CHEMBL3186011	Apoptotic modulator
FIMM100346...Carfilzomib	FIMM100346	Carfilzomib	Proteasome inhibitor (20S subunit)	PSMB5;PSMB8;PSMB1;PSMB2;PSMB9;PSMB10	L.Protease.proteasome inhibitor	Approved	NA	NA	NA	NA	DMSO	1000	BLMPQMFVWMYDKT-NZTKNTHTSA-N	CHEMBL451887	Protease.proteasome inhibitor
FIMM100347...Gandotinib	FIMM100347	Gandotinib	JAK2 inhibitor	JAK2;JAK1;FLT3;FLT4;FGFR2;TYK2;NTRK2;FGFR3;KDR;ALK	B.Kinase inhibitor	Investigational (Ph 2)	LY2784544	NA	NA	Inactive	DMSO	10000	SQSZANZGUXWJEA-UHFFFAOYSA-N	CHEMBL2107823	Kinase inhibitor
FIMM100352...AZ3146	FIMM100352	AZ3146	Mps1 kinase (TTK) inhibitor	TTK	B.Kinase inhibitor	Probe	AZ 3146	NA	NA	Inactive	DMSO	10000	YUKWVHPTFRQHMF-UHFFFAOYSA-N	CHEMBL2140523	Kinase inhibitor
FIMM100355...Sotrastaurin	FIMM100355	Sotrastaurin	PKC inhibitor	PRKCB;PRKCQ;PRKCH;PRKCA;PRKCE;PRKCA	B.Kinase inhibitor	Investigational (Ph 2)	NVP-AEB071	AEB071	NA	NA	DMSO	10000	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	CHEMBL565612,CHEMBL2105655	Kinase inhibitor
FIMM100362...Midostaurin	FIMM100362	Midostaurin	Broad TK (FLT3, KIT, RET, JAK, EGFR) inhibitor	PRKCA;PRKCB;PRKCG;FLT3;KIT;RET;EGFR;JAK1;KDR	B.Kinase inhibitor	Approved (US)	NVP-PKC412	PKC412, CGP 41251	NA	NA	DMSO	10000	BMGQWWVMWDBQGC-IIFHNQTCSA-N	CHEMBL2309609,CHEMBL608533	Kinase inhibitor
FIMM100364...Regorafenib	FIMM100364	Regorafenib	BRAF, c-Kit, VEGFR2 inhibitor	BRAF;RAF1;KIT;KDR;FLT1;RET;PDGFRB;FLT4	B.Kinase inhibitor	Approved	BAY73-4506	NA	NA	NA	DMSO	10000	FNHKPVJBJVTLMP-UHFFFAOYSA-N	CHEMBL1946170	Kinase inhibitor
FIMM100365...XAV939	FIMM100365	XAV939	Tankyrase-1 and -2	TNKS	E.Differentiating.epigenetic modifier	Probe	XAV-939	NA	NA	Inactive	DMSO	10000	KLGQSVMIPOVQAX-UHFFFAOYSA-N	CHEMBL1086580	Differentiating.epigenetic modifier
FIMM100366...UCN_01	FIMM100366	UCN-01	PKCbeta, PDK1, Chk, Cdk2 inhibitor	PRKCB;PDPK1	B.Kinase inhibitor	Investigational (Ph 2)	UCN-01	7-Hydroxystaurosporine	NA	Inactive	DMSO	10000	PBCZSGKMGDDXIJ-HQCWYSJUSA-N	CHEMBL574737	Kinase inhibitor
FIMM100367...Ruboxistaurin	FIMM100367	Ruboxistaurin	PKCbeta inhibitor	PRKCB;PRKCH	B.Kinase inhibitor	Investigational (Ph 3)	LY333531	NA	NA	Inactive	DMSO	10000	ZCBUQCWBWNUWSU-UHFFFAOYSA-N	CHEMBL91829,CHEMBL432130	Kinase inhibitor
FIMM100368...Capecitabine	FIMM100368	Capecitabine	5-FU prodrug	TYMS	A.Conv.Chemo	Approved	NA	NA	Prodrug, converted in liver and tumor by 3-step reaction	NA	DMSO	10000	GAGWJHPBXLXJQN-UORFTKCHSA-N	CHEMBL1773	Conv.Chemo
FIMM100371...Chloroquine	FIMM100371	Chloroquine	Antimalarial agent, chemo and radio sensitizer	TLR7;TLR9;HMGB1;GSTA2;GSTM1;TNF	A.Conv.Chemo	Approved	NA	NA	NA	NA	AQ	100000	QKICWELGRMTQCR-UHFFFAOYSA-N	CHEMBL1326,CHEMBL1669,CHEMBL2052012,CHEMBL250447,CHEMBL76,CHEMBL2095223,CHEMBL58510	Conv.Chemo
