gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
EIPR1	0.5084	1.793e-05	3.09e-05	0.645	8.804e-09	2.58e-08	49.2	0.08	49.64	0.24	64
ELAC1	0.5775	5.842e-07	1.22e-06	0.4205	0.0005408	0.00083	6.93	0.08	2.32	0.29	64
ELAC2	0.7151	3.189e-11	1.26e-10	0.7228	1.543e-11	6.51e-11	57.72	-0.01	13.24	0.17	64
ELAVL1	0.2782	0.02601	0.0316	0.1731	0.1713	0.192	57.23	0.05	12.76	0.1	64
ELF1	0.8419	2.912e-18	4.93e-17	0.8469	1.161e-18	1.32e-17	218.64	-0.11	107.82	0.39	64
ELF2	0.333	0.007179	0.00918	0.3725	0.002434	0.00343	38.94	0.09	12.12	0.2	64
ELF4	0.7013	1.086e-10	3.92e-10	0.6668	1.795e-09	5.77e-09	20.78	-0.05	13.3	0.37	64
ELFN1	0.7187	4.458e-10	1.45e-09	0.6164	4.241e-07	9.86e-07	2.9	-0.49	7.2	1.11	56
ELFN2	0.7272	1.015e-11	4.38e-11	0.6959	1.741e-10	6.39e-10	6.89	-0.33	13.99	0.91	64
ELK1	0.6162	5.939e-08	1.44e-07	0.5975	1.863e-07	4.55e-07	29.51	-0.01	8.71	0.23	64
ELK3	0.7338	5.304e-12	2.39e-11	0.8918	4.962e-23	1.29e-21	32.48	-0.44	55.21	1.14	64
ELK4	0.6268	3.001e-08	7.58e-08	0.7474	1.304e-12	6.37e-12	58.35	0.02	29.41	0.33	64
ELL	0.2642	0.03492	0.0418	0.2581	0.03951	0.0481	10.66	-0.01	3.43	0.16	64
ELL2	0.7124	0.0001369	0.000213	0.7421	5.04e-05	8.84e-05	5.71	-0.17	4.95	0.44	23
ELL3	0.6997	1.253e-10	4.47e-10	0.7668	1.503e-13	8.3e-13	1.18	-0.06	1.26	0.69	64
ELMO1	0.5699	8.858e-07	1.81e-06	0.7753	5.447e-14	3.2e-13	45.11	0.02	41.57	0.39	64
ELMO2	0.5396	4.198e-06	7.86e-06	0.5049	2.098e-05	3.87e-05	25.62	-0.08	8.64	0.5	64
ELMOD2	0.5762	6.303e-07	1.31e-06	0.5872	3.389e-07	8e-07	34.04	0.2	9.51	0.26	64
ELMSAN1	0.7581	4.074e-13	2.23e-12	0.8204	1.081e-16	8.99e-16	24.31	0.14	14.74	0.29	64
ELOA	0.5336	5.617e-06	1.03e-05	0.3427	0.005568	0.0075	52.36	0.01	13.66	0.26	64
ELOB	0.198	0.1167	0.132	0.1493	0.239	0.263	165.53	0	65.37	0.15	64
ELOC	0.405	0.0009027	0.00127	0.3977	0.001138	0.00168	32.8	0.08	15.31	0.16	64
ELOF1	0.4534	0.0001682	0.000259	0.4475	0.0002091	0.000338	19.84	0.03	5.8	0.18	64
ELOVL1	0.6825	5.253e-10	1.69e-09	0.5523	2.226e-06	4.69e-06	59.1	0.08	17.57	0.32	64
ELOVL2	0.8308	2.006e-17	2.72e-16	0.8345	1.071e-17	1.03e-16	19.35	-0.96	29.65	1.24	64
ELOVL4	0.6928	2.36e-09	6.91e-09	0.5609	5.667e-06	1.13e-05	16.19	-0.15	35.36	1.06	57
ELOVL5	0.7675	1.391e-13	8.32e-13	0.8076	7.527e-16	5.52e-15	305.96	-0.15	140.31	0.66	64
ELOVL6	0.7541	1.954e-11	8.04e-11	0.7375	9.032e-11	3.42e-10	17.74	-0.11	25.99	0.85	56
ELP1	0.5564	1.809e-06	3.54e-06	0.5551	1.934e-06	4.11e-06	55.56	0	14.15	0.23	64
ELP2	-0.0657	0.606	0.63	0.0265	0.8356	0.849	38.93	0.04	9.9	0.19	64
ELP3	0.3768	0.00215	0.0029	0.277	0.02669	0.0331	47.26	-0.01	12.06	0.18	64
ELP4	0.031	0.8079	0.823	-0.1092	0.3903	0.419	5.72	0.04	1.69	0.17	64
ELP5	0.3207	0.00977	0.0123	0.2931	0.01876	0.0238	53.05	0.03	17.15	0.18	64
ELP6	0.4512	0.0001824	0.00028	0.3623	0.003264	0.00452	41.78	0.06	11.27	0.18	64
EMB	0.7476	1.278e-12	6.37e-12	0.7129	3.88e-11	1.54e-10	134.39	-0.01	67.45	0.46	64
EMC1	0.2435	0.05254	0.0617	0.2185	0.08275	0.0966	35.45	-0.04	9.64	0.16	64
EMC10	0.7107	4.741e-11	1.82e-10	0.7522	7.818e-13	3.93e-12	8.44	-0.27	5.96	0.61	64
EMC2	0.1379	0.2774	0.301	0.2189	0.08223	0.0961	17.19	-0.03	4.72	0.18	64
EMC3	0.5747	6.844e-07	1.42e-06	0.4767	6.831e-05	0.000118	26.76	-0.03	8.6	0.21	64
EMC4	0.2135	0.09023	0.103	0.1041	0.4131	0.441	35.83	-0.04	9.67	0.2	64
EMC6	0.1992	0.1146	0.13	0.1628	0.1986	0.221	28.88	0.02	11.26	0.2	64
EMC7	0.4258	0.0004514	0.000658	0.2951	0.01794	0.0228	41.21	-0.07	13.52	0.16	64
EMC8	0.5016	2.423e-05	4.11e-05	0.4295	0.0003979	0.000621	25.57	-0.01	5.7	0.14	64
EMC9	0.407	0.0008452	0.00119	0.4268	0.0004361	0.000677	21.36	-0.2	6.93	0.45	64
EMD	0.7205	1.916e-11	7.9e-11	0.6511	5.706e-09	1.71e-08	35.15	0.07	10.25	0.21	64
EME1	0.5929	2.444e-07	5.4e-07	0.5221	9.65e-06	1.87e-05	36.44	0.09	18.14	0.26	64
EMG1	0.5014	2.435e-05	4.12e-05	0.5473	2.878e-06	5.97e-06	34.6	0.01	12.58	0.21	64
EMILIN1	0.8528	3.789e-19	8.31e-18	0.8272	3.626e-17	3.23e-16	13.97	0.09	21.19	0.87	64
EMILIN2	0.692	2.094e-06	4.07e-06	0.7807	1.204e-08	3.46e-08	14.86	0.32	29.06	1.28	37
EML1	0.9574	8.487e-13	4.36e-12	0.7124	0.0001368	0.000227	2.08	0.2	4.78	1.12	23
EML2	0.7761	4.935e-14	3.22e-13	0.7125	4.012e-11	1.59e-10	8.87	-0.09	3.9	0.49	64
EML3	0.5495	2.574e-06	4.95e-06	0.5177	1.183e-05	2.26e-05	26.31	0.1	6.52	0.31	64
EML4	0.8949	2.127e-23	1.99e-21	0.7398	2.87e-12	1.35e-11	44.71	-0.14	27.67	0.34	64
EML6	0.4545	0.006931	0.00887	0.3617	0.03559	0.0435	4.08	-0.02	5.81	0.32	34
EMP3	0.7541	6.298e-13	3.31e-12	0.7756	5.238e-14	3.08e-13	29.61	-0.23	27.28	0.98	64
EMSY	0.5303	6.589e-06	1.2e-05	0.6217	4.177e-08	1.11e-07	19.51	0.14	8.59	0.18	64
ENAH	0.8247	5.524e-17	6.72e-16	0.9165	2.323e-26	1.3e-24	13.52	0.19	16.41	0.75	64
ENC1	0.6819	0.0002424	0.000366	0.393	0.05743	0.0684	8.95	0.04	8.72	0.62	24
ENDOD1	0.8555	2.217e-19	5.27e-18	0.8761	2.632e-21	4.86e-20	48.92	0.07	33.92	0.65	64
ENDOG	0.4429	0.0002478	0.000373	0.4591	0.0001357	0.000225	18.19	-0.11	8.41	0.47	64
ENDOV	0.1157	0.3628	0.388	0.2479	0.04827	0.058	5.76	0.03	2.3	0.38	64
ENG	0.7446	1.757e-12	8.57e-12	0.8265	4.117e-17	3.63e-16	33.4	-0.26	37.3	1.01	64
ENGASE	0.586	3.64e-07	7.84e-07	0.5806	4.918e-07	1.13e-06	16.02	0.14	6.29	0.39	64
ENKD1	0.771	9.113e-14	5.66e-13	0.7803	2.944e-14	1.79e-13	10.78	0.01	4.96	0.44	64
ENO1	0.7657	1.701e-13	1e-12	0.7474	1.304e-12	6.37e-12	1498.53	0.11	913.14	0.32	64
ENO2	0.8995	5.589e-24	6.75e-22	0.9181	1.344e-26	8.06e-25	33.02	0.11	27.46	0.69	64
ENO3	-0.0411	0.7471	0.765	0.0985	0.4388	0.467	12.22	0.19	5.97	0.29	64
ENOPH1	0.3926	0.001334	0.00184	0.2796	0.02526	0.0315	135.52	0.07	33.86	0.15	64
ENOSF1	0.8105	4.924e-16	4.75e-15	0.8455	1.512e-18	1.69e-17	13.35	-0.3	14.58	0.79	64
ENOX2	0.57	8.841e-07	1.81e-06	0.5758	6.435e-07	1.46e-06	16.92	-0.02	6.11	0.38	64
ENPP1	0.7656	3.643e-10	1.2e-09	0.643	1.095e-06	2.41e-06	1.29	-0.3	2.94	0.65	47
ENPP4	0.8324	1.54e-17	2.17e-16	0.8686	1.421e-20	2.29e-19	13.2	-0.41	13.86	0.91	64
ENSA	0.4622	0.0001205	0.000189	0.4519	0.0001778	0.000291	93.41	0.02	15.66	0.17	64
ENTPD1	0.2791	0.02553	0.031	0.1055	0.4065	0.435	2.18	-1.72	4.98	1.34	64
ENTPD4	0.4783	6.406e-05	0.000104	0.4275	0.0004259	0.000662	65.91	0.12	42.18	0.36	64
ENTPD5	0.5883	3.184e-07	6.92e-07	0.5673	1.021e-06	2.25e-06	5.76	-0.07	2.7	0.29	64
ENTPD6	0.6008	1.535e-07	3.49e-07	0.5511	2.376e-06	4.99e-06	25.15	-0.25	9.63	0.45	64
ENTR1	0.4671	9.995e-05	0.000158	0.4107	0.0007489	0.00113	42.67	-0.06	15.11	0.3	64
ENY2	0.5658	1.105e-06	2.23e-06	0.548	2.768e-06	5.76e-06	37.73	-0.01	10.41	0.17	64
EOGT	0.7857	1.491e-14	1.08e-13	0.8007	2e-15	1.4e-14	13.53	-0.2	7.92	0.79	64
EOMES	0.7607	8.571e-10	2.66e-09	0.7407	3.997e-09	1.22e-08	1.72	-1.14	3.48	0.92	46
EP300	0.1808	0.1529	0.171	0.2782	0.02605	0.0324	50.17	0.07	21.7	0.16	64
EP400	0.0245	0.8476	0.86	0.0293	0.8182	0.833	15.08	0.14	8.85	0.15	64
EPB41	0.6128	7.357e-08	1.76e-07	0.5413	3.867e-06	7.88e-06	40.36	0.03	9.58	0.19	64
EPB41L1	0.6943	1.988e-10	6.87e-10	0.6461	8.148e-09	2.4e-08	0.98	-0.2	1.53	1.07	64
EPB41L2	0.8232	7.001e-17	8.27e-16	0.9236	1.675e-27	1.29e-25	31.05	0.03	24.01	0.62	64
EPB41L3	0.7277	2.182e-08	5.61e-08	0.3539	0.01845	0.0234	0.99	0.19	3.85	0.86	44
EPB41L4B	0.7913	1.32e-11	5.59e-11	0.8607	2.221e-15	1.54e-14	1.7	-0.02	4.11	0.88	49
EPB41L5	0.8028	1.494e-15	1.3e-14	0.8751	3.288e-21	5.92e-20	10.42	0.04	8.87	0.66	64
EPC1	0.4918	3.668e-05	6.1e-05	0.5896	2.964e-07	7.05e-07	18.54	0.14	7.44	0.19	64
EPC2	0.4394	0.0002811	0.00042	0.4901	3.944e-05	7.01e-05	33.33	0.04	12.62	0.17	64
EPCAM	0.3511	0.03069	0.0369	0.2334	0.1585	0.179	1.52	-0.26	3.94	0.99	38
EPDR1	0.7393	3.029e-12	1.43e-11	0.6951	1.85e-10	6.76e-10	28.44	0.19	19.22	0.69	64
EPG5	0.7901	8.427e-15	6.43e-14	0.781	2.717e-14	1.65e-13	25.34	0.17	17.96	0.38	64
EPHA2	0.5744	0.0002491	0.000375	0.4197	0.01082	0.0141	1.05	-1.28	2.79	1.86	36
EPHA3	0.7609	6.512e-12	2.9e-11	0.6878	3.397e-09	1.05e-08	21.69	-0.12	48.4	1.3	57
EPHA4	0.7935	8.033e-11	2.97e-10	0.7351	8.891e-09	2.6e-08	4.26	0.25	8.13	1.06	45
EPHA7	0.6549	8.145e-06	1.47e-05	0.3413	0.03599	0.044	2.95	0.1	8.13	1.31	38
EPHB1	0.5081	8.765e-05	0.00014	0.3255	0.01631	0.0208	1.27	-2.18	5.27	1.24	54
EPHB2	0.5483	5.474e-05	8.94e-05	0.5574	3.859e-05	6.86e-05	1.75	-0.6	5.88	1.32	48
EPHB3	0.8206	1.059e-16	1.2e-15	0.8069	8.219e-16	5.99e-15	2.81	-0.06	4.93	1.1	64
EPHB4	0.8654	2.859e-20	8.88e-19	0.8626	5.238e-20	7.65e-19	15.01	0.08	19.02	0.9	64
EPHB6	0.7903	8.136e-15	6.23e-14	0.7081	6.014e-11	2.33e-10	31.62	-0.65	52.22	0.96	64
EPHX1	0.7087	5.673e-11	2.15e-10	0.7715	8.66e-14	4.93e-13	5.96	-0.04	6.32	0.54	64
EPHX2	0.8004	2.075e-15	1.76e-14	0.702	1.024e-10	3.85e-10	6.68	-0.37	11.76	1.19	64
EPHX4	0.765	1.843e-13	1.08e-12	0.8162	2.087e-16	1.67e-15	0.93	-0.25	1.81	1.32	64
EPM2A	0.4526	0.0001731	0.000266	0.4494	0.0001952	0.000317	4.97	0.06	2.21	0.29	64
EPM2AIP1	0.6591	3.202e-09	9.24e-09	0.6768	8.266e-10	2.78e-09	39.71	0.12	14.9	0.45	64
EPN1	0.3996	0.001072	0.00149	0.4267	0.0004374	0.000679	6.12	0.09	2.33	0.22	64
EPN2	0.6532	3.644e-08	9.1e-08	0.6661	1.565e-08	4.41e-08	1.42	-0.76	3.57	1.31	57
EPOP	0.7272	0.0001259	0.000197	0.8193	3.102e-06	6.39e-06	18.61	-0.11	13.25	0.61	22
EPPK1	0.468	0.005252	0.00681	0.3958	0.0205	0.0258	0.03	-0.11	0.08	0.68	34
EPS15	0.761	2.934e-13	1.65e-12	0.7712	8.949e-14	5.08e-13	68.23	0.05	21.2	0.26	64
EPS15L1	0.4496	0.0001937	0.000296	0.368	0.002776	0.00389	12.12	0.02	4.12	0.15	64
EPS8	0.9159	2.927e-26	1.26e-23	0.7109	4.677e-11	1.84e-10	1.37	-0.34	2.3	0.75	64
EPS8L2	0.7842	1.8e-14	1.28e-13	0.764	2.075e-13	1.13e-12	1.12	-0.8	1.49	1.05	64
EPSTI1	0.8162	2.09e-16	2.19e-15	0.7721	8.021e-14	4.59e-13	10.49	-0.32	24.71	1.01	64
ERAL1	0.2721	0.02964	0.0357	0.2315	0.06562	0.0775	48.41	-0.07	9.7	0.32	64
ERAP1	0.6405	1.199e-08	3.19e-08	0.6939	2.062e-10	7.48e-10	95.99	-0.04	36.55	0.36	64
ERAP2	0.7987	2.644e-15	2.21e-14	0.8782	1.581e-21	3e-20	65.03	-0.21	38.8	0.92	64
ERBIN	0.5538	2.063e-06	4.01e-06	0.5036	2.215e-05	4.07e-05	110.81	0.1	31.9	0.22	64
ERC1	0.4701	8.859e-05	0.000141	0.5656	1.118e-06	2.45e-06	14.45	0.07	7.24	0.25	64
ERCC1	0.0374	0.7694	0.786	-0.0087	0.9453	0.951	47.77	0.06	15.2	0.19	64
ERCC2	0.5112	1.585e-05	2.75e-05	0.5119	1.539e-05	2.9e-05	18.46	0.06	4.79	0.24	64
ERCC3	0.1959	0.1208	0.136	0.1596	0.2077	0.23	32.64	0.06	6.76	0.16	64
ERCC4	0.7135	3.673e-11	1.44e-10	0.662	2.569e-09	8.09e-09	12.64	0.07	3.52	0.22	64
ERCC5	0.6178	5.365e-08	1.31e-07	0.6746	9.851e-10	3.28e-09	4.34	0.06	1.6	0.3	64
ERCC6	0.6191	4.943e-08	1.21e-07	0.6501	6.111e-09	1.82e-08	6.78	0.06	4	0.23	64
ERCC6L	0.7032	9.234e-11	3.37e-10	0.7772	4.354e-14	2.58e-13	30.03	-0.18	19.24	0.51	64
ERCC6L2	0.4225	0.0005056	0.000733	0.3568	0.003806	0.00523	24.89	-0.12	8.95	0.27	64
ERCC8	0.521	1.017e-05	1.81e-05	0.5459	3.082e-06	6.36e-06	17.21	0.03	6.13	0.23	64
ERF	0.3397	0.006024	0.00776	0.2793	0.02539	0.0316	15.06	0.16	4.69	0.27	64
ERG	0.7763	4.854e-14	3.17e-13	0.9343	1.841e-29	2.57e-27	72.59	0.01	83.34	0.87	64
ERG28	0.5824	4.458e-07	9.47e-07	0.5538	2.071e-06	4.38e-06	29.21	-0.14	9.87	0.44	64
ERGIC1	0.8947	2.227e-23	2.06e-21	0.8922	4.492e-23	1.17e-21	102.59	-0.06	59.05	0.54	64
ERGIC2	0.4673	9.89e-05	0.000157	0.4402	0.0002723	0.000435	44.51	-0.06	13.59	0.22	64
ERGIC3	0.2869	0.02152	0.0263	0.2913	0.0195	0.0246	80.43	-0.01	18.21	0.21	64
ERH	0.0583	0.6473	0.669	0.0677	0.5952	0.621	396	0.16	158.53	0.16	64
ERI1	0.724	1.381e-11	5.83e-11	0.7433	2.005e-12	9.58e-12	29.71	0.01	9.95	0.18	64
ERI2	0.7858	4.416e-07	9.39e-07	0.8039	1.498e-07	3.71e-07	13.09	-0.12	11.62	0.63	29
ERI3	0.5984	1.764e-07	3.98e-07	0.4542	0.0001631	0.000268	58.25	0.12	16.5	0.23	64
ERICH1	0.3735	0.002368	0.00318	0.4094	0.0007809	0.00117	8.75	-0.01	6.15	0.24	64
ERICH5	0.7424	5.823e-11	2.2e-10	0.4699	0.0002581	0.000413	1.32	0.21	4.11	0.98	56
ERLEC1	0.4174	0.0005999	0.000862	0.4462	0.0002199	0.000355	58.62	0.04	13.73	0.26	64
ERLIN1	0.5436	3.452e-06	6.53e-06	0.5366	4.856e-06	9.78e-06	51.05	0.03	16.4	0.28	64
ERLIN2	0.7012	1.099e-10	3.96e-10	0.625	3.395e-08	9.12e-08	23.47	0.09	7.73	0.37	64
ERMAP	0.4395	0.02467	0.03	0.3703	0.06262	0.0742	6.75	0.3	2.82	0.54	26
ERMARD	-0.0406	0.7502	0.768	-0.0424	0.7394	0.759	28.8	-0.23	9.31	0.42	64
ERMP1	0.686	3.966e-10	1.3e-09	0.8151	2.453e-16	1.94e-15	18.17	0	21.18	0.61	64
ERN1	0.6223	4.036e-08	1e-07	0.7348	4.806e-12	2.17e-11	8.35	-0.29	7.85	0.53	64
ERO1A	0.8955	1.786e-23	1.71e-21	0.8986	7.313e-24	2.24e-22	70.23	-0.03	31.14	0.4	64
ERO1B	0.7087	5.655e-11	2.14e-10	0.7478	1.254e-12	6.16e-12	22.63	-0.37	19.38	0.83	64
ERP29	0.8699	1.082e-20	3.89e-19	0.8739	4.388e-21	7.77e-20	121.78	-0.07	44.01	0.36	64
ERP44	0.5833	4.236e-07	9.04e-07	0.5783	5.587e-07	1.28e-06	37.33	-0.11	11.72	0.19	64
ERVK3-1	0.3764	0.002171	0.00293	0.3058	0.01399	0.018	21.7	-0.14	9.96	0.43	64
ESAM	0.8999	5.027e-24	6.36e-22	0.7995	2.36e-15	1.64e-14	11.46	-0.69	15.43	1.25	64
ESCO1	0.5152	1.324e-05	2.32e-05	0.4599	0.0001315	0.000219	46.37	-0.01	14.21	0.27	64
ESCO2	0.745	1.675e-12	8.19e-12	0.7364	4.087e-12	1.87e-11	37.68	-0.09	20.64	0.34	64
ESD	0.7202	1.978e-11	8.13e-11	0.7818	2.45e-14	1.5e-13	148.63	0.18	48.98	0.33	64
ESF1	0.5558	1.866e-06	3.65e-06	0.5304	6.545e-06	1.3e-05	52.27	-0.16	16.32	0.3	64
ESPL1	0.4433	0.0002436	0.000367	0.5099	1.68e-05	3.14e-05	48.28	-0.11	29.73	0.3	64
ESPNL	0.5599	0.006736	0.00863	0.3285	0.1355	0.154	0.4	0.14	0.57	0.58	22
ESRRA	0.4329	0.0003538	0.000523	0.3903	0.001429	0.00207	22.63	-0.16	9.13	0.34	64
ESRRB	-0.0084	0.9558	0.961	-0.1281	0.396	0.424	0.12	0.02	0.18	0.24	46
ESS2	0.2082	0.09883	0.113	0.2509	0.04555	0.055	9.81	0.04	2.75	0.17	64
ESYT1	0.841	3.419e-18	5.71e-17	0.7859	1.441e-14	9.02e-14	163.85	0.01	63.59	0.32	64
ESYT2	0.7771	4.374e-14	2.88e-13	0.8079	7.137e-16	5.25e-15	182.16	0.08	88.45	0.35	64
ETAA1	0.5048	2.106e-05	3.59e-05	0.4259	0.0004507	0.000698	22.85	0.01	7.46	0.25	64
ETF1	0.5412	3.879e-06	7.3e-06	0.5704	8.617e-07	1.92e-06	140.87	-0.04	37.81	0.18	64
ETFA	0.3718	0.002485	0.00333	0.225	0.07379	0.0867	78.76	0.07	25.04	0.33	64
ETFB	0.2256	0.07302	0.0845	0.3734	0.002376	0.00335	5.36	0.05	1.98	0.26	64
ETFBKMT	0.3311	0.09844	0.112	0.2971	0.1405	0.16	1.28	-0.02	0.75	0.23	26
ETFDH	0.5091	1.737e-05	3e-05	0.5832	4.269e-07	9.92e-07	20.54	0.14	6.38	0.29	64
ETFRF1	0.6955	1.8e-10	6.26e-10	0.7783	3.76e-14	2.24e-13	17.12	0.08	5.96	0.48	64
ETHE1	0.6631	2.368e-09	6.93e-09	0.6299	2.461e-08	6.74e-08	39.55	0.16	14.44	0.42	64
ETNK1	0.4348	0.0003305	0.00049	0.3633	0.003173	0.00441	75.78	-0.11	23.51	0.4	64
ETS1	0.8366	7.445e-18	1.14e-16	0.8883	1.255e-22	3.03e-21	91.45	-0.43	112.74	0.77	64
ETS2	0.6841	4.618e-10	1.5e-09	0.6791	6.921e-10	2.35e-09	152.42	0.02	102.71	0.62	64
ETV3	0.5896	2.958e-07	6.46e-07	0.5155	1.305e-05	2.48e-05	16.99	0.14	8	0.28	64
ETV4	0.6784	0.001009	0.00141	0.6737	0.001128	0.00166	11.49	-0.47	18.39	0.88	20
ETV5	0.5061	6.916e-05	0.000112	0.6476	6.857e-08	1.77e-07	58.28	-0.13	69.62	1.05	56
ETV6	0.6635	2.303e-09	6.75e-09	0.7375	3.642e-12	1.68e-11	42.35	0.02	34.45	0.52	64
EVI2B	0.7561	5.087e-13	2.73e-12	0.8445	1.836e-18	2.02e-17	46.12	-0.09	35.62	0.68	64
EVI5	0.7549	5.798e-13	3.07e-12	0.9339	2.186e-29	3.01e-27	5.74	0.06	7.3	0.6	64
EVI5L	0.633	1.99e-08	5.14e-08	0.5993	1.674e-07	4.12e-07	6.8	0.1	3	0.33	64
EVL	0.8516	4.767e-19	1.02e-17	0.8654	2.858e-20	4.37e-19	72.31	-0.18	53.55	0.83	64
EVPL	0.3588	0.003597	0.00475	0.3236	0.009101	0.012	4.7	0.01	12.94	0.62	64
EWSR1	0.42	0.0005504	0.000794	0.481	5.742e-05	9.98e-05	144.49	0.07	40.98	0.13	64
EXD2	0.831	1.938e-17	2.64e-16	0.9568	5.671e-35	6.99e-32	6.74	0.09	6.53	0.71	64
EXD3	0.2055	0.2034	0.224	0.1587	0.328	0.355	3.02	-0.1	2.33	0.55	40
EXO1	0.6976	1.495e-10	5.27e-10	0.7354	4.486e-12	2.04e-11	79.08	-0.15	40.65	0.33	64
EXO5	0.3776	0.002098	0.00284	0.3673	0.002831	0.00396	20.22	0.14	6	0.42	64
EXOC1	0.2707	0.03053	0.0368	0.2788	0.02571	0.032	39.4	0.04	12	0.2	64
EXOC2	0.543	3.552e-06	6.71e-06	0.4967	2.979e-05	5.38e-05	55.78	0.04	16.63	0.2	64
EXOC3	0.3757	0.002219	0.00299	0.3274	0.008275	0.0109	22.13	0.04	9.26	0.17	64
EXOC4	0.2075	0.09992	0.114	0.3935	0.001295	0.00189	48.95	0.05	30.18	0.19	64
EXOC5	0.6496	6.344e-09	1.76e-08	0.6423	1.062e-08	3.07e-08	40.21	0.11	12.96	0.23	64
EXOC6	0.6349	1.761e-08	4.58e-08	0.6421	1.073e-08	3.1e-08	29.68	0.03	9.5	0.21	64
EXOC6B	0.7665	1.553e-13	9.2e-13	0.856	2.034e-19	2.62e-18	3.15	-0.06	5.5	0.86	64
EXOC7	0.4946	3.262e-05	5.45e-05	0.5271	7.664e-06	1.51e-05	52.88	0.07	14.42	0.23	64
EXOC8	0.1187	0.3502	0.376	0.1483	0.2422	0.267	30.62	0.09	7.18	0.21	64
EXOG	0.2187	0.08249	0.0949	0.1403	0.2689	0.294	17.69	0.01	6.3	0.32	64
EXOSC1	0.1173	0.3561	0.382	0.1131	0.3736	0.402	34.97	0.09	7.79	0.23	64
EXOSC10	0.0235	0.8536	0.865	0.0115	0.9282	0.936	74.24	-0.03	19.72	0.22	64
EXOSC2	0.1908	0.1311	0.148	0.2068	0.1011	0.117	81.96	-0.03	31.01	0.21	64
EXOSC3	-0.1727	0.1725	0.192	-0.0979	0.4413	0.469	46.04	0.04	15.19	0.24	64
EXOSC4	0.6686	1.56e-09	4.67e-09	0.6443	9.208e-09	2.69e-08	17.06	0.01	8.81	0.28	64
EXOSC5	-0.1359	0.2841	0.308	-0.101	0.4271	0.455	47.19	0.03	23.07	0.21	64
EXOSC6	0.0599	0.638	0.66	0.0561	0.6598	0.682	56.06	0	16.92	0.22	64
EXOSC7	0.2423	0.05375	0.0631	0.2734	0.02882	0.0357	25.54	0.01	7.16	0.23	64
EXOSC8	0.3818	0.001852	0.00252	0.3229	0.009259	0.0122	78.74	-0.04	39.22	0.24	64
EXOSC9	0.4588	0.0001375	0.000214	0.4701	8.892e-05	0.000151	59.36	0.02	20.85	0.24	64
EXT1	0.5631	5.131e-06	9.5e-06	0.605	6.219e-07	1.41e-06	3.35	0.08	4.29	0.62	57
EXT2	0.5629	1.289e-06	2.58e-06	0.541	3.919e-06	7.98e-06	17.69	0.04	5.72	0.23	64
EXTL2	0.7629	2.365e-13	1.36e-12	0.7177	2.502e-11	1.02e-10	20.68	-0.05	11.74	0.65	64
EXTL3	0.671	1.307e-09	3.95e-09	0.4617	0.0001229	0.000205	12.95	0.02	5.79	0.33	64
EYA3	0.4676	9.771e-05	0.000155	0.4534	0.0001681	0.000276	34.03	-0.12	9.73	0.31	64
EZH1	0.4716	8.367e-05	0.000134	0.3963	0.001187	0.00174	41.13	0.11	13.58	0.27	64
EZH2	0.3808	0.00191	0.00259	0.3953	0.001226	0.0018	130.34	-0.01	72.05	0.19	64
EZR	0.8755	3.024e-21	1.3e-19	0.8811	7.862e-22	1.59e-20	201.06	-0.11	107.2	0.39	64
F10	-0.1206	0.6027	0.627	0.1118	0.6296	0.654	0.01	0.76	0.02	1.11	21
F11R	0.7206	1.901e-11	7.85e-11	0.7477	1.26e-12	6.18e-12	21.24	0.13	12.45	0.77	64
F13A1	0.8535	3.301e-19	7.41e-18	0.5758	6.427e-07	1.46e-06	21.42	-0.31	45.54	1.17	64
F2	0.1619	0.2013	0.222	0.222	0.07782	0.0912	0.09	0.34	0.12	0.78	64
F2R	0.7094	9.358e-10	2.89e-09	0.8697	3.401e-18	3.55e-17	24.65	-0.52	38.95	1.47	56
F2RL3	0.6056	1.046e-05	1.86e-05	0.5801	2.959e-05	5.34e-05	22.13	0.11	33.86	0.48	45
F5	0.0837	0.5109	0.537	0.0068	0.9578	0.963	0.02	0.37	0.04	0.73	64
F8	0.4495	0.04677	0.0552	0.3774	0.1009	0.117	3.19	0.19	6.86	0.62	20
FA2H	0.6845	0.0006194	0.000888	0.2932	0.1971	0.219	0.58	0.14	1.34	0.68	21
FAAH	0.8596	9.749e-20	2.56e-18	0.8579	1.382e-19	1.84e-18	21.51	-0.12	22.47	1.18	64
FAAP100	0.1841	0.1453	0.163	0.1584	0.2112	0.234	21.39	0.01	7.52	0.16	64
FAAP20	-0.0523	0.6818	0.702	-0.089	0.4843	0.512	2.78	0	1.21	0.24	64
FAAP24	0.4473	0.0005471	0.00079	0.4621	0.0003364	0.000531	12.42	0.06	5.14	0.39	56
FABP3	0.5815	5.387e-05	8.8e-05	0.5048	0.0006514	0.00099	1.85	0.33	5.24	0.97	42
FABP5	0.8255	4.814e-17	5.96e-16	0.8355	9.002e-18	8.78e-17	86.89	-0.03	39.32	0.38	64
FABP6	0.6883	3.284e-10	1.09e-09	0.3045	0.01444	0.0185	1.63	-1.31	4.4	1.26	64
FADD	0.6319	2.145e-08	5.52e-08	0.6633	2.341e-09	7.41e-09	43.65	0.03	11.87	0.2	64
