pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
CHRONIC_MYELOID_LEUKEMIA	0.0896	0.238	0.362	1.23	17	63	BCL2L1|GAB2|NFKB1|SMAD3|STAT5A|STAT5B|AKT3|CTBP2|MDM2|PIK3R5|BCR|MAP2K1|PIK3CD|TGFBR2|CDK6|PIK3CG|CDKN1A|RUNX1|TGFBR1|CRK|HDAC1|CBLB|MAPK3|NFKBIA|CHUK|SHC1|E2F2|RB1|ARAF|HDAC2|CDK4|GRB2|E2F1|BRAF|SOS2|MYC|PIK3R1|CDKN1B|CDKN2A|CRKL|TGFB1|MAPK1|SOS1|CBL|IKBKB|MAP2K2
METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	0.0942	0.246	0.499	1.38	17	13	MGST2|GSTM2|AKR1C3|GSTM1|GSTK1|EPHX1|GSTZ1|MGST3|GSTM3|GSTP1
PROPANOATE_METABOLISM	0.0995	0.247	0.412	1.28	19	27	ALDH3A2|ALDH7A1|ACSS1|ABAT|ACACB|ALDH1B1|ACSS2|ACAT2|LDHA|ALDH2|ACAT1|ALDH6A1|MLYCD|ACACA|SUCLG2|LDHB|PCCA
PROGESTERONE_MEDIATED_OOCYTE_MATURATION	0.0995	0.247	0.359	1.23	19	65	MAPK12|ADCY6|ADCY7|AKT3|MAPK13|PRKACB|RPS6KA3|PDE3B|ADCY9|PIK3R5|MAP2K1|PIK3CD|GNAI1|MAPK11|PIK3CG|BUB1|RPS6KA1|CCNB1|PRKACA|ADCY3|CCNB2|CDK2|IGF1R|MAD2L2|MAPK3|CDK1|MAPK9|MAD2L1|PRKX|CCNA2|HSP90AB1|ARAF|CDC25B
GALACTOSE_METABOLISM	0.103	0.247	0.45	1.34	19	18	HK1|PFKM|UGP2|PFKL|GALK2|HK2|GLB1|PGM1|AKR1B1|GALE|PFKP|GANC|PGM2
FRUCTOSE_AND_MANNOSE_METABOLISM	0.104	0.247	0.409	1.27	20	27	HK1|PFKFB2|PFKM|MTMR1|SORD|ALDOC|PFKL|HK2|AKR1B1|PFKFB4|FBP1|PMM1|PFKP|PFKFB3|GMDS|TPI1|TSTA3|MTMR6|KHK
PROSTATE_CANCER	0.104	0.247	0.353	1.2	20	63	FOXO1|LEF1|NFKB1|AKT3|PDGFRB|MDM2|FGFR1|PIK3R5|TCF7L2|MAP2K1|PIK3CD|BCL2|PIK3CG|GSK3B|CDKN1A|TCF7|CDK2|IGF1R|CASP9|MAPK3|CCNE2|NFKBIA|CHUK|E2F2|PTEN|HSP90AB1|CREBBP|CREB3L2|RB1|HSP90B1|ARAF|GSTP1|GRB2|E2F1|BRAF|SOS2|CCNE1|PIK3R1|CDKN1B|PDPK1|MAPK1|SOS1|IKBKB|MAP2K2
SMALL_CELL_LUNG_CANCER	0.104	0.247	0.361	1.23	20	58	BCL2L1|NFKB1|TRAF5|ITGA6|AKT3|PTK2|LAMC1|PIK3R5|ITGA2|PIK3CD|BCL2|APAF1|CDK6|PIK3CG|ITGB1|RXRA|CDK2|CASP9|SKP2|MAX|TRAF3|ITGAV|FHIT|CCNE2|NFKBIA|CHUK|E2F2|PTEN|RB1|CDK4|E2F1|BIRC2|MYC|CCNE1|PIK3R1|CDKN1B
BUTANOATE_METABOLISM	0.105	0.247	0.421	1.29	20	23	AACS|ALDH3A2|HMGCS1|ALDH7A1|ABAT|OXCT1|ALDH1B1|ACAT2|BDH1|ALDH2|ACAT1|ACSM3|ACADS|ALDH5A1|HMGCL|HADH
LEISHMANIA_INFECTION	0.109	0.253	0.377	1.23	21	41	PRKCB|MAPK12|NFKB1|PTPN6|MAPK13|NCF4|MAPK11|MARCKSL1|HLA-DMA|ITGB2|ITGB1|HLA-DOA|JAK2|HLA-DPA1|ITGA4|IFNGR1|NCF1|HLA-DPB1|MAPK3|NFKBIA|JAK1|MYD88|IRAK1|STAT1|NCF2|HLA-DRB1|ELK1
PYRUVATE_METABOLISM	0.114	0.254	0.392	1.24	22	32	ALDH3A2|ME3|ALDH7A1|PC|ACSS1|HAGHL|ACACB|ALDH1B1|ACSS2|ACAT2|LDHA|AKR1B1|ALDH2|ACAT1|PCK2|ACACA|LDHB|ACYP1|GRHPR|PKM|ACYP2|ME2
JAK_STAT_SIGNALING_PATHWAY	0.114	0.254	0.359	1.21	22	52	IL7R|BCL2L1|STAT3|SPRY1|IL6ST|STAM|PTPN6|STAT5A|STAT5B|AKT3|PIK3R5|IL2RG|PIK3CD|SOCS2|SPRY2|STAT6|PIK3CG|JAK2|IFNGR1|STAT2|CBLB|SPRY4|CREBBP|JAK1|STAT1|GRB2|SPRED2|SOS2|JAK3|MYC|PIK3R1
NON_SMALL_CELL_LUNG_CANCER	0.114	0.254	0.373	1.22	22	44	PRKCB|PRKCA|PLCG2|FOXO3|PLCG1|RASSF5|AKT3|PIK3R5|MAP2K1|PIK3CD|STK4|CDK6|PIK3CG|RXRA|CASP9|MAPK3|FHIT|E2F2|RB1|ARAF|CDK4|RASSF1|GRB2|E2F1|BRAF|SOS2|PIK3R1|CDKN2A|PDPK1|MAPK1|SOS1|MAP2K2
EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	0.119	0.261	0.369	1.21	23	42	MAPK12|SRC|PLCG2|NFKB1|PLCG1|MAPK13|LYN|JAM2|ADAM10|MAPK11|CSK|F11R|PAK1|JAM3|ATP6V1B2|NFKBIA|TCIRG1|CHUK|CASP3|MAPK9
SPHINGOLIPID_METABOLISM	0.126	0.271	0.429	1.29	24	21	GALC|PLPP1|CERK|SGPP1|SMPD2|GLB1|ASAH1|SPTLC2|SGPL1|KDSR|UGT8|DEGS1|UGCG|NEU3
ACUTE_MYELOID_LEUKEMIA	0.129	0.276	0.37	1.22	25	46	STAT3|LEF1|NFKB1|STAT5A|STAT5B|AKT3|PIK3R5|TCF7L2|MAP2K1|PIK3CD|PML|PIK3CG|SPI1|RUNX1|TCF7|EIF4EBP1|MAPK3|JUP|CHUK|FLT3|RARA|ARAF|GRB2|BRAF|SOS2|MYC|PIK3R1|PPARD|MAPK1|RPS6KB2|SOS1|IKBKB|MAP2K2
ARGININE_AND_PROLINE_METABOLISM	0.134	0.279	0.386	1.22	26	33	ALDH3A2|ALDH7A1|OAT|PYCR1|ASS1|CPS1|ASL|ALDH1B1|P4HA2|ALDH4A1|GLUL|ALDH2|ODC1|P4HA1|SAT2|GOT1|GAMT|GATM|LAP3|ALDH18A1|SMS|PYCR3|GLS|ALDH9A1|GOT2
GLUTATHIONE_METABOLISM	0.134	0.279	0.387	1.22	26	33	MGST2|GCLC|GSTM2|OPLAH|GPX7|GSTM1|GSTK1|IDH1|GSTZ1|GCLM|MGST3|GGT7|ODC1|PGD|RRM2|GSTM3|RRM2B|GSS|GPX1|GSTP1|G6PD|LAP3|RRM1|SMS
PEROXISOME	0.139	0.286	0.345	1.18	27	58	NUDT19|ACSL1|PECR|ACSL5|SLC27A2|CRAT|PRDX1|GSTK1|PHYH|CAT|IDH1|ACSL3|NUDT12|CROT|HSD17B4|AGPS|EPHX2|MLYCD|ABCD3|FAR2|ACOX3|ABCD1|SOD2|SCP2|ECI2|HMGCL|PMVK|DECR2|ACAA1|MVK|PEX5|PRDX5|PEX6
PANCREATIC_CANCER	0.144	0.292	0.345	1.16	28	54	BCL2L1|STAT3|NFKB1|SMAD3|AKT3|RALB|PIK3R5|RAC2|MAP2K1|PIK3CD|TGFBR2|CDK6|PIK3CG|ARHGEF6|TGFBR1|RAC3|CASP9|SMAD2|MAPK3|CHUK|MAPK9|E2F2|JAK1|RB1|ARAF|STAT1|CDK4|RAD51|E2F1|BRAF|PLD1|PIK3R1|MAPK8|BRCA2|CDKN2A|TGFB1|MAPK1|IKBKB|RALBP1
HYPERTROPHIC_CARDIOMYOPATHY_HCM	0.149	0.294	0.397	1.23	29	26	SLC8A1|ITGA6|ITGA5|ITGA2|TPM1|TPM4|ITGB1|ITGB7|PRKAG2|ITGA4|PRKAG1|ITGAV|ACTB|EMD
TYPE_I_DIABETES_MELLITUS	0.154	0.294	0.42	1.25	29	18	HLA-F|FAS|HLA-DMA|HLA-B|HLA-DOA|HLA-DPA1|HLA-DPB1|CD28|HSPD1|HLA-A
LYSOSOME	0.154	0.294	0.327	1.14	30	90	CTSS|LGMN|IGF2R|SCARB2|HGSNAT|GALC|CTSO|ACP2|CTSC|ABCA2|NPC1|PSAP|FUCA1|GNPTAB|CTSH|AP1S2|CTSA|GLB1|CTSZ|CD63|AGA|LAPTM5|ASAH1|LAMP2|AP4S1|SORT1|GGA2|TPP1|HEXB|TCIRG1|MAN2B1|DNASE2|MANBA|AP4E1|ATP6V0D1|CTSD|ARSB|NPC2|PLA2G15|NAGLU|LAMP1|M6PR|GNS|IDS|CTSW|HEXA|CTSB|ATP6V0A1|AP3M2|CLTB|SUMF1|LIPA
TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.154	0.294	0.343	1.15	30	52	MAPK12|TLR1|NFKB1|MAP2K6|AKT3|MAPK13|PIK3R5|IRF5|MAP2K1|PIK3CD|MAPK11|PIK3CG|IKBKE|MAP2K3|RIPK1|TRAF3|MAPK3|NFKBIA|CHUK|MAPK9|FADD|CASP8|MYD88|IRAK1|STAT1|MAP2K4|CD40|MAP3K8|TBK1|TICAM1|IRF7|PIK3R1
COLORECTAL_CANCER	0.154	0.294	0.355	1.18	30	49	LEF1|SMAD3|AKT3|PIK3R5|TCF7L2|RAC2|MAP2K1|PIK3CD|BCL2|TGFBR2|PIK3CG|GSK3B|TCF7|TGFBR1|MLH1|RAC3|APPL1|CASP9|SMAD2|MAPK3|CASP3|MAPK9|BAX|MSH2|ARAF|BRAF|MYC|MSH6|PIK3R1
GLYCEROPHOSPHOLIPID_METABOLISM	0.159	0.3	0.355	1.17	31	44	DGKA|AGPAT3|GPD2|GPD1L|LPCAT2|CDS2|DGKH|MBOAT2|LPGAT1|DGKD|AGPAT4|PLPP1|PCYT2|AGPAT2|MBOAT7|DGKE|LPCAT4|LPCAT1|LPCAT3|GPAT4|PLA2G15|PLD2|AGPAT1|PLD1|LCLAT1|ADPRM
PRION_DISEASES	0.176	0.328	0.427	1.25	33	17	PRKACB|LAMC1|MAP2K1|FYN|PRKACA|NOTCH1|HSPA5|MAPK3|BAX|PRKX|ELK1|STIP1|MAPK1|MAP2K2
PPAR_SIGNALING_PATHWAY	0.179	0.33	0.37	1.18	35	32	CPT1A|SCD|SORBS1|ACSL1|ACSL5|SLC27A2|FADS2|FABP5|SCD5|SLC27A1|ACSL3|RXRA|PCK2|SLC27A4|ACOX3|SCP2|DBI|ACAA1|PPARD|PLTP|PDPK1|ILK|ACSL4|GK|ACADM
DRUG_METABOLISM_CYTOCHROME_P450	0.182	0.332	0.464	1.25	34	11	MGST2|GSTM2|GSTM1|GSTK1|GSTZ1|MGST3|GSTM3|GSTP1
ETHER_LIPID_METABOLISM	0.188	0.333	0.459	1.27	35	13	LPCAT2|PAFAH2|PLPP1|LPCAT4|AGPS|LPCAT1|PLD2|PLD1|PAFAH1B3|PAFAH1B1
TGF_BETA_SIGNALING_PATHWAY	0.189	0.333	0.36	1.16	37	39	SMAD3|BMPR1A|BMPR2|TFDP1|SMAD1|ZFYVE9|NOG|TGFBR2|TGFBR1|ROCK2|ID3|ACVR1|SMAD2|PPP2CB|PPP2R1B|SMAD5|E2F5|MAPK3|SP1|CREBBP|MYC|SMURF2|ROCK1|TGFB1|RBL2|MAPK1|RPS6KB2
ENDOMETRIAL_CANCER	0.189	0.333	0.356	1.16	37	40	FOXO3|LEF1|AKT3|PIK3R5|TCF7L2|MAP2K1|PIK3CD|PIK3CG|GSK3B|TCF7|MLH1|CASP9|MAPK3|PTEN|ARAF|GRB2|BRAF|SOS2|MYC|CTNNA1|PIK3R1|ELK1|PDPK1|MAPK1|SOS1|ILK|MAP2K2
INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	0.197	0.343	0.432	1.25	37	15	CXCR4|TNFRSF13C|HLA-DMA|HLA-DOA|HLA-DPA1|ITGB7|ITGA4|HLA-DPB1|CD28|CD40|HLA-DRB1|TGFB1
DORSO_VENTRAL_AXIS_FORMATION	0.204	0.352	0.452	1.25	38	13	ETS1|MAP2K1|NOTCH3|NOTCH2|ETV6|NOTCH1|MAPK3|ETS2|GRB2|SOS2|MAPK1|SOS1
NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.209	0.356	0.352	1.13	41	38	MAPK12|CASP1|NFKB1|PSTPIP1|PYCARD|TNFAIP3|MAPK13|NLRP3|MAPK11|NLRP1|RIPK2|TRIP6|CARD8|MAPK3|NFKBIA|CHUK|CARD9|MAPK9|HSP90AB1|CASP8|HSP90B1
HISTIDINE_METABOLISM	0.215	0.362	0.447	1.23	40	13	ALDH3A2|ALDH7A1|LCMT1|ACY3|ALDH1B1|BUD23|ALDH2|TRMT11|LCMT2|METTL2B|ALDH9A1
GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	0.222	0.371	-0.319	-1.32	1	17	PIGP|PIGG|PIGW|PIGO|PIGQ|GPAA1|PIGL|PIGA|PIGN|PIGT|PIGB|PIGX|PIGK|PIGS|PIGM|PIGH
RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.244	0.403	0.336	1.1	48	45	MAPK12|NFKB1|MAP3K1|CASP10|MAPK13|TBKBP1|DDX58|DDX3Y|MAPK11|AZI2|IKBKE|IFIH1|CYLD|RIPK1|TKFC|TRAF3|NLRX1|NFKBIA|CHUK|MAPK9|FADD|CASP8|SIKE1|TBK1|IRF7|MAPK8|DHX58|TRADD|ISG15|TRIM25|IKBKB|MAVS|ATG5|TANK
HEDGEHOG_SIGNALING_PATHWAY	0.246	0.403	0.413	1.2	47	16	GLI3|PRKACB|RAB23|GSK3B|PRKACA|PRKX|PTCH1
GRAFT_VERSUS_HOST_DISEASE	0.267	0.432	0.404	1.17	51	16	HLA-F|FAS|HLA-DMA|HLA-B|HLA-DOA|HLA-DPA1|HLA-DPB1|CD28|HLA-A
MELANOMA	0.279	0.446	0.345	1.1	55	35	AKT3|PDGFRB|MDM2|FGFR1|PIK3R5|MAP2K1|PIK3CD|CDK6|PIK3CG|CDKN1A|IGF1R|MAPK3|E2F2|PTEN|RB1|ARAF|CDK4|E2F1|BRAF|PIK3R1|CDKN2A|MAPK1|MAP2K2
ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.281	0.446	0.371	1.11	54	20	GPT2|ASS1|CPS1|ABAT|ACY3|ASL|ALDH4A1|GLUL|GOT1|ALDH5A1|GFPT1|NIT2|GLS|GOT2|ASNS|CAD|PPAT
ALZHEIMERS_DISEASE	0.284	0.446	0.301	1.08	56	115	PLCB1|GNAQ|PPP3CA|PPP3CC|MME|APP|ITPR2|ATP2A3|ITPR1|FAS|ADAM10|APAF1|LRP1|EIF2AK3|GSK3B|PLCB2|CASP7|TNFRSF1A|CDK5|CAPN2|MAPT|ERN1|CASP9|BID|PLCB3|MAPK3|CASP3|GAPDH|FADD|CASP8
AUTOIMMUNE_THYROID_DISEASE	0.301	0.464	0.388	1.13	57	17	HLA-F|FAS|HLA-DMA|HLA-B|HLA-DOA|HLA-DPA1|HLA-DPB1|CD28|HLA-A|CD40|HLA-DRB1|HLA-E|HLA-C
ALLOGRAFT_REJECTION	0.301	0.464	0.388	1.13	57	17	HLA-F|FAS|HLA-DMA|HLA-B|HLA-DOA|HLA-DPA1|HLA-DPB1|CD28|HLA-A|CD40|HLA-DRB1|HLA-E|HLA-C
TRYPTOPHAN_METABOLISM	0.306	0.468	0.369	1.1	59	20	ALDH3A2|ALDH7A1|CAT|ALDH1B1|ACAT2|HAAO|ALDH2|ACAT1|OGDHL|WARS2|KMO|HADH
GLYCOSAMINOGLYCAN_DEGRADATION	0.309	0.468	0.421	1.14	58	12	HPSE|HGSNAT|GLB1|HEXB|ARSB|NAGLU|GNS|IDS|HEXA|GUSB|IDUA
BETA_ALANINE_METABOLISM	0.313	0.469	0.399	1.13	60	14	ALDH3A2|ALDH7A1|ABAT|ALDH1B1|DPYD|ALDH2|MLYCD|SMS|HIBCH|ALDH9A1|ACADM|ECHS1|SRM
FATTY_ACID_METABOLISM	0.333	0.491	0.346	1.09	66	29	CPT1A|ALDH3A2|ACSL1|ACSL5|ALDH7A1|ALDH1B1|ACAT2|ACSL3|ALDH2|ECI1|ACAT1|ACOX3|ECI2|ACADS|ACAA1|HADH|ACADSB|ACAA2|ALDH9A1|ACADVL|ACSL4|ACADM|HADHB|ECHS1
PROTEIN_EXPORT	0.333	0.491	-0.215	-1.15	0	21	SEC61B|SRP9|SPCS1|IMMP1L|SRP72|SRP54|SRP19|SRP68|SPCS2|OXA1L|SRP14|SRPRA|SPCS3|SEC11A|IMMP2L|SRPRB|SEC61A1|SEC63|HSPA5|SEC11C|SEC62
BLADDER_CANCER	0.343	0.501	0.348	1.08	68	26	MDM2|RPS6KA5|MAP2K1|CDKN1A|MAPK3|E2F2|RB1|ARAF|CDK4|RASSF1|E2F1|BRAF|MYC|DAPK1|CDKN2A|MAPK1|MAP2K2
TERPENOID_BACKBONE_BIOSYNTHESIS	0.356	0.509	0.4	1.1	67	13	HMGCS1|ACAT2|ACAT1|IDI1|FDPS|PDSS2|MVD|PMVK|MVK
SYSTEMIC_LUPUS_ERYTHEMATOSUS	0.358	0.509	0.377	1.1	68	17	ACTN1|ACTN4|HLA-DMA|HLA-DOA|HLA-DPA1|HLA-DPB1|CD28|TRIM21|CD40|HLA-DRB1
ANTIGEN_PROCESSING_AND_PRESENTATION	0.358	0.509	0.319	1.05	71	46	HSPA2|TAP1|CTSS|CIITA|LGMN|HLA-F|CALR|CD74|HLA-DMA|HLA-B|HLA-DOA|HLA-DPA1|RFX5|HLA-DPB1|B2M|HSPA5|IFI30|PDIA3|HLA-A|HSP90AB1
ONE_CARBON_POOL_BY_FOLATE	0.393	0.553	0.397	1.08	74	12	MTHFR|MTHFD2|MTHFD1|SHMT1|DHFR|MTHFD1L|SHMT2|GART
TYROSINE_METABOLISM	0.436	0.604	0.353	1.02	84	16	FAH|LCMT1|GSTZ1|BUD23|COMT|TRMT11|GOT1|LCMT2|METTL2B|GOT2|NAA80
OTHER_GLYCAN_DEGRADATION	0.436	0.604	0.358	1.02	84	14	FUCA1|GLB1|AGA|HEXB|MAN2B1|FUCA2|MANBA|NEU3|HEXA|ENGASE|GBA|MAN2B2|MAN2C1
PATHOGENIC_ESCHERICHIA_COLI_INFECTION	0.448	0.615	0.315	1.02	89	39	PRKCA|TUBB4A|EZR|TUBA4A|HCLS1|FYN|ITGB1|CTTN|NCK1|ROCK2|NCK2|TUBB2A|YWHAZ|ACTB|ARHGEF2|TUBB6|TUBA8|ROCK1|TUBB3|ARPC5L
CYSTEINE_AND_METHIONINE_METABOLISM	0.463	0.63	0.326	1	92	24	CTH|MTAP|DNMT3B|AHCYL2|LDHA|ADI1|DNMT3A|AHCY|GOT1|LDHB|MPST|APIP|SMS|GOT2|MAT2B
RENAL_CELL_CARCINOMA	0.468	0.631	0.301	1	93	49	GAB1|ETS1|AKT3|PIK3R5|MAP2K1|PIK3CD|PIK3CG|CRK|EGLN1|FLCN|PAK1|MAPK3|RAPGEF1|CREBBP|FH|ARAF|RAP1A|RAP1B|GRB2|BRAF|SOS2|PIK3R1|PAK2|SLC2A1|CRKL|TGFB1|ARNT|MAPK1|SOS1|MAP2K2
VASOPRESSIN_REGULATED_WATER_REABSORPTION	0.488	0.653	0.317	1	97	31	ADCY6|DYNC2H1|PRKACB|ADCY9|RAB5A|NSF|PRKACA|ADCY3|DYNC2LI1|ARHGDIB|PRKX|CREB3L2
AMINOACYL_TRNA_BIOSYNTHESIS	0.5	0.664	-0.278	-1.76	0	22	HARS2|FARS2|MTFMT|PARS2|IARS2|FARSA|AARS2|SARS2|YARS2|PSTK|CARS2|LARS2|VARS2|DARS2|TARS2|SEPSECS|MARS2|FARSB|WARS2|RARS2|EARS2
SELENOAMINO_ACID_METABOLISM	0.515	0.679	0.324	0.969	100	19	CTH|PAPSS1|LCMT1|AHCYL2|BUD23|GGT7|AHCY|TRMT11|LCMT2|MARS2|METTL2B
DRUG_METABOLISM_OTHER_ENZYMES	0.544	0.706	0.331	0.968	104	17	IMPDH2|TPMT|IMPDH1|DPYD|TK1|UCK1|HPRT1|TK2|UCK2|UMPS|GUSB|NAT1|CES2|GMPS
NON_HOMOLOGOUS_END_JOINING	0.545	0.706	0.344	0.95	103	13	DNTT|DCLRE1C|LIG4|POLL|POLM|RAD50|MRE11|XRCC4|PRKDC
NOTCH_SIGNALING_PATHWAY	0.562	0.723	0.312	0.99	112	32	DTX1|CTBP2|DTX3|MAML3|NOTCH3|NOTCH2|DTX3L|MAML2|KAT2B|NOTCH1|HDAC1|CREBBP|HDAC2|RBPJ
VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0.567	0.723	0.302	0.973	113	39	BCAT1|ALDH3A2|HMGCS1|ALDH7A1|ABAT|OXCT1|ALDH1B1|ACAT2|ALDH2|ACAT1|ALDH6A1|ACADS|PCCA|HMGCL|IVD|MCCC1|ACAA1|HADH|ACADSB|BCKDHB|MCCC2|HIBCH|ACAA2|HIBADH|ALDH9A1|ACADM|HADHB|ECHS1
PURINE_METABOLISM	0.607	0.761	0.27	0.961	121	105	AMPD3|GUCY1A1|ADCY6|ADCY7|POLR3G|PAPSS1|IMPDH2|GUCY1B1|PDE3B|ADA|ADCY9|POLE4|PDE4A|IMPDH1|PNP|PRPS2|AK4|ADK|PDE6D|PDE4D|NT5C2|NT5E|NT5C|NUDT2|ADCY3|RRM2|FHIT|CANT1|AK5|RRM2B|NME4|DCK|POLR1E|PDE8A|PNPT1|NME3|NME1|NT5M|POLE3|POLR1B|PKM|PDE7A|PAICS|RRM1|POLE2|GART|ADPRM|POLD4|HPRT1|PRUNE1|ENTPD5|PRIM1|GUK1|POLD2|ENTPD6|NT5C3A|NUDT9|AMPD2|POLR3K|POLD3|PFAS|NME7|POLR1C|NUDT5|PPAT|POLA1|POLR2K|POLR3D|POLD1|GMPR2|POLR2H|GMPS
GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	0.607	0.761	0.338	0.918	115	12	ACO1|HYI|MTHFD2|MTHFD1|MTHFD1L|GRHPR|MDH2|PGP|AFMID
PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	0.615	0.761	0.351	0.923	117	10	ATP1B1|SLC4A4|PCK2|CA2|GLS
ABC_TRANSPORTERS	0.615	0.761	0.315	0.913	119	16	TAP1|ABCC4|ABCA2|ABCD3|ABCD1|ABCC5|ABCB10|ABCC10|ABCC1|ABCB6|ABCB7
LYSINE_DEGRADATION	0.642	0.788	0.29	0.937	128	39	ALDH3A2|AASS|ALDH7A1|SETDB2|ALDH1B1|ACAT2|NSD2|PLOD3|ALDH2|SETD7|PLOD1|DLST|ACAT1|OGDHL
CITRATE_CYCLE_TCA_CYCLE	0.652	0.794	0.294	0.915	130	27	ACO1|PC|ACLY|IDH1|DLST|OGDHL|PCK2|FH|IDH3A|SUCLG2
PANTOTHENATE_AND_COA_BIOSYNTHESIS	0.661	0.8	0.342	0.9	126	10	BCAT1|DPYD|PPCS|PPCDC|PANK1|PANK2|COASY|BCAT2|PANK4|PANK3
CYTOSOLIC_DNA_SENSING_PATHWAY	0.667	0.8	0.283	0.89	133	29	CASP1|NFKB1|PYCARD|RIPK3|POLR3G|DDX58|IKBKE|RIPK1|NFKBIA|CHUK|ADAR|TBK1|IRF7|IKBKB|MAVS|POLR3K|POLR1C|POLR3D|POLR3B|RELA|POLR1D|IRF3|IKBKG|POLR3C|NFKBIB|POLR3H
PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	0.703	0.829	0.291	0.868	136	18	BLVRA|HMOX2|BLVRB|FECH|HMBS|ALAD|EARS2|MMAB|UROD|GUSB|CPOX|UROS|HMOX1
BASE_EXCISION_REPAIR	0.711	0.829	0.28	0.887	142	31	PARP1|POLE4|NEIL3|NEIL2|LIG3|UNG|NEIL1|PCNA|OGG1|XRCC1|POLL|POLE3|MBD4|POLE2|POLD4|MPG|POLD2|HMGB1|POLD3|POLB|APEX2|POLD1|APEX1
CELL_CYCLE	0.711	0.829	0.26	0.928	142	108	SMAD3|TFDP2|TFDP1|MDM2|TTK|CDK6|GSK3B|CDKN1A|CDKN2D|CDC45|BUB1|WEE1|CCNB1|PTTG1|CDC6|CCNB2|CDK2|MAD2L2|CDKN2C|SMAD2|ORC6|SKP2|CDC20|HDAC1|E2F5|PCNA|CDK1|CCNE2|YWHAZ|MAD2L1|CCNA2|E2F2|DBF4|CREBBP|RB1|HDAC2|CHEK2|CDK4|CDC25B|ORC3|CHEK1|E2F1|BUB3|ORC1|YWHAE|MYC|MCM3|CCNE1|CDKN1B|CDC7|MCM6|YWHAG|ATM|BUB1B|CDKN2A|TGFB1|RBL2
SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	0.711	0.829	0.277	0.877	142	31	VAMP8|VAMP5|STX7|TSNARE1|STX17|STX3|YKT6|STX12|SNAP29|SNAP23|STX4|STX5|VAMP4|STX11|STX2|BNIP1|STX10|VAMP3|STX6|BET1|VTI1B|SNAP47|SEC22B
PYRIMIDINE_METABOLISM	0.741	0.858	0.258	0.901	148	83	CMPK2|POLR3G|CTPS2|POLE4|PNP|NT5C2|NT5E|NT5C|NUDT2|DPYD|RRM2|CANT1|TK1|TXNRD2|AK3|UCK1|RRM2B|NME4|DCK|POLR1E|UPRT|PNPT1|CTPS1|NME3|NME1|NT5M|POLE3|POLR1B|RRM1|POLE2|POLD4|DCTD|TK2|UCK2|DUT|ENTPD5|PRIM1|POLD2|ENTPD6|UMPS|NT5C3A|POLR3K|TYMS|POLD3|DHODH|CAD|NME7|POLR1C|POLA1|POLR2K|CMPK1|DTYMK|POLR3D|POLD1|POLR2H
THYROID_CANCER	0.844	0.97	0.257	0.773	167	21	LEF1|TCF7L2|MAP2K1|TCF7|RXRA|MAPK3|CCDC6|BRAF|MYC|MAPK1|MAP2K2
REGULATION_OF_AUTOPHAGY	0.857	0.971	-0.209	-0.792	5	14	PIK3R4|GABARAP|PRKAA1|ATG4D|ATG4B|ULK1|BECN1|ATG7|GABARAPL2|ATG5|ATG3|ATG4C|PIK3C3
COMPLEMENT_AND_COAGULATION_CASCADES	0.857	0.971	-0.17	-0.754	5	16	SERPINA1|FGB|FGA|F5|FGG|C3|SERPINC1|PLG|SERPINF2|F2|PLAUR|CD46|CR2|F13A1|A2M|CD55
MISMATCH_REPAIR	0.88	0.984	0.244	0.742	175	22	MLH3|MLH1|EXO1|PCNA|MSH2|RFC4|RFC1|MSH6|POLD4|POLD2|POLD3|RPA2|PMS2|POLD1|RFC3
MTOR_SIGNALING_PATHWAY	0.881	0.984	0.241	0.768	176	35	AKT3|RPS6KA3|PIK3R5|PIK3CD|PIK3CG|RHEB|RPS6KA1|CAB39|EIF4EBP1|MAPK3|BRAF|TSC1|PIK3R1|PDPK1|MAPK1|RPS6KB2
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	0.89	0.988	0.255	0.692	169	12	NDST1|EXTL2|HS6ST1|GLCE|HS2ST1|EXT2|B4GALT7|B3GAT3|EXTL3|XYLT1
GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	0.921	1	0.234	0.637	175	12	CHST11|CHST15|CHST12|CSGALNACT2|CHST14|B4GALT7|B3GAT3|CHPF2|XYLT1
CARDIAC_MUSCLE_CONTRACTION	0.95	1	0.22	0.698	190	32	SLC8A1|TPM1|TPM4|ATP1B1
